event_id,source_file,report_month,event_month,data_status,event_name,event_category,target_primary,target_secondary,business_objective,target_behavior,participation_condition,mechanic_type,channel,seasonal_theme,key_message,cta,start_date,end_date,data_quality_status,review_required,source_page
2026-04_11CONCERT,(wylie)한화생명 4월 월간보고_260507(F).pptx,2026-04,2026-04,확인 필요,11시 콘서트,11시 콘서트,FP/Agt.,데이터 없음,확인 필요(사유는 위와 동일),확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요(원문 텍스트로 이벤트명 미확인 - 사용자 제공 정보로 등록),True,slide 2 (SUMMARY)
2026-04_LOCAL_CULTURE,(wylie)한화생명 4월 월간보고_260507(F).pptx,2026-04,2026-04,확인 필요,지방문화혜택,지방문화혜택,FP/Agt.,데이터 없음,지방 소재 FP/Agt. 대상 문화 혜택 확대(3월 보고서에서 예고된 4월 확대 시행분으로 추정),"미션 수행, 공연 응모",확인 필요,"미션 수행, 추첨",고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,"확인 필요(원문에 이 회차 상세 슬라이드 텍스트 없음 - 사용자 제공 정보로 등록, 지역/공연명·성과 수치 모두 원본 재확인 필요. 사용자가 언급한 '부산 미션 달성 175/359명' 등 구체 수치는 본 프로젝트에 제공된 원본 파일 어디에서도 텍스트·이미지로 확인되지 않았음)",True,확인 필요(4월 보고서 내 해당 슬라이드 특정 못함)
2026-04_ONESHEET,(wylie)한화생명 4월 월간보고_260507(F).pptx,2026-04,2026-04,확인 필요,원시트·소식지,원시트·소식지,FP/Agt.,고객,고객 터치 콘텐츠 발송,고객 터치 발송,확인 필요,확인 필요,"원시트/소식지(한금서, GA)",데이터 없음,데이터 없음,데이터 없음,N/A,N/A,"확인 필요(원문 텍스트 최소, X(설계사)/Y(고객) 2종 페이지 구조만 확인됨)",True,slide 6-7
2026-05_TOUCHAWARDS,(wylie)한화생명 5월 월간보고_260608(FF).pptx,2026-05,2026-05,확인 필요,터치어워즈,터치어워즈,FP/Agt.,데이터 없음,"확인 필요(SUMMARY에 '총 5건 제작'만 기재, 개별 이벤트명은 사용자 제공 정보로 등록)",확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요(원문 텍스트로 이벤트명 미확인),True,slide 2 (SUMMARY)
2026-05_GOLDENWEEK,(wylie)한화생명 5월 월간보고_260608(FF).pptx,2026-05,2026-05,확인 필요,골든위크,골든위크,FP/Agt.,고객,확인 필요(사유는 위와 동일),확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,골든위크,데이터 없음,데이터 없음,N/A,N/A,확인 필요(원문 텍스트로 이벤트명 미확인),True,slide 2 (SUMMARY)
2026-05_ONESHEET,(wylie)한화생명 5월 월간보고_260608(FF).pptx,2026-05,2026-05,확인 필요,원시트,원시트·소식지,FP/Agt.,고객,터치어워즈 경품 요소를 재활용한 원시트 홍보,고객 터치 발송,확인 필요,확인 필요,원시트,데이터 없음,프리미엄 경품 중심 비주얼,데이터 없음,N/A,N/A,확인 필요,True,slide 7
2026-05_11CONCERT,(wylie)한화생명 5월 월간보고_260608(FF).pptx,2026-05,2026-05,확인 필요,11시 콘서트,11시 콘서트,FP/Agt.,데이터 없음,확인 필요(사용자 제공 정보로 등록),확인 필요,확인 필요,확인 필요,고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,확인 필요(원문 텍스트로 이벤트명 미확인),True,slide 2 (SUMMARY)
2026-06_SALESBOOST_PLAN,(wylie)한화생명 5월 월간보고_260608(FF).pptx,2026-05,2026-06,plan,영업부스트 패키지,영업부스트 패키지,FP/Agt.,고객,"확인 필요(제작 리뷰 단계, 사업 목표 명시 없음)",확인 필요,확인 필요,단계별 참여(X 설계사 page / Y 고객 page 구조),고객터치 시스템 웹페이지,시크릿 박스 콘셉트,시크릿 박스 - 비밀스러운 기대감,데이터 없음,N/A,N/A,"확인 필요(제작/디자인 리뷰 슬라이드만 존재, 실제 6월 시행 여부·성과는 6월 보고서 파일 오류로 삭제되어 확인 불가)",True,slide 3-7
2026-07_GOLDENWEEK,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-07,result,골든위크,골든위크,FP/Agt.,고객,경품 단가 상향을 통한 참여율 극대화,이벤트 참여,확인 필요(정량 수치 없음),추첨,고객터치 시스템 웹페이지,골든위크,데이터 없음,데이터 없음,N/A,N/A,"A(2026-09-04 추가된 내부 실측 로그로 정량 성과 확인됨, 하단 measured 참고)",False,slide 9 (9월 운영 제언) / 내부_골든위크_7월_260701-260731.xlsx
2026-07_11CONCERT,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-07,result,11시 콘서트,11시 콘서트,고객,FP/Agt.,참여 허들 완화를 통한 응모자 확대,사연 응모,응모 조건 강화 + 사연 작성 예시 선제 노출,"사연 응모, 추첨",고객터치 시스템 웹페이지,데이터 없음,데이터 없음,데이터 없음,N/A,N/A,"정성 리뷰만 존재(정량 수치 없음 - '최다 참여 모객'의 실제 인원수는 원문에 기재되어 있지 않음). 확인 필요: 이 리뷰가 가리키는 응모 회차가 event_id=2026-08_11CONCERT_PLAN(8월 공연 '신사들의오페라'/7월 응모, 실제 응모자 1,160명 확인됨)과 동일 회차인지 원문에 명시되어 있지 않아 단정하지 않음(시기상 유력).",True,slide 9 (9월 운영 제언)
2026-07_TOUCHAWARDS,카카오_불꽃어워즈_1~4차(GA/라이프랩/한금서) xls 12개,2026-07,2026-07,확인 필요,터치어워즈(불꽃어워즈),터치어워즈,FP/Agt.,데이터 없음,확인 필요(원본 월간보고에 7월 시행분 자체에 대한 기획 의도 서술 없음),확인 필요,"확인 필요(카카오 채널 발송 로그만 확인, 이벤트 페이지 내 참여 조건 원문 없음)",확인 필요,"고객터치 시스템 웹페이지, 카카오톡 채널(GA/라이프랩/한금서)",데이터 없음,데이터 없음,데이터 없음,2026-07-01,2026-07-31,"확인 필요: 실제 시행 사실은 카카오 채널 발송 로그로 확인됨(evidence A, 2026-07-01~07-31 4개 라운드). 단 이벤트 페이지 참여자/미션 달성 수치를 담은 내부 파일은 제공되지 않아 참여 성과는 확인 불가.",True,카카오_불꽃어워즈_1~4차 xls 12개
2026-08_GOLDENWEEK_PLAN,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-08,plan,골든위크,골든위크,FP/Agt.,고객,시즌/트렌드 기반 랜덤 테마로 재미와 실속을 모두 극대화,이벤트 참여,확인 필요,즉석 당첨(슬롯머신형 랜덤 요소),"고객터치 시스템 웹페이지, 카카오 채널(신규 배너)",여름/랜덤·운(슬롯머신) 테마,슬롯머신 특유의 운적인 요소를 활용해 혜택을 이원화,데이터 없음,2026-08-01,N/A,A(표에 직접 기재된 계획 수치),False,"slide 3 (8월 프로모션 경품 운영 기획안 표), slide 4"
2026-08_TOUCHAWARDS_PLAN,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-08,plan,터치어워즈,터치어워즈,FP/Agt.,데이터 없음,시즌형 혜택 결합으로 참여 매력도 및 영업 동기 환기,미션 수행,마지막 기회 앵콜(불꽃 티켓 받을 수 있는 마지막 기회 강조),"미션 수행, 추첨",고객터치 시스템 웹페이지,여름/불꽃축제 시즌,"1년에 딱 한 번 마지막 기회, 앵콜 불꽃 어워즈",데이터 없음,2026-08-01,N/A,A(경품 계획은 표에 직접 기재). 참고: 2026-09-04 추가된 카카오_불꽃어워즈 발송 로그(2026-07-01~07-31)는 '앵콜' 이전의 7월 원래 시행분으로 판단해 event_id=2026-07_TOUCHAWARDS로 별도 등록함(이 8월 앵콜 건과는 구분) - 8월 앵콜 자체의 실행/참여 증거는 아직 없음.,True,"slide 3, slide 5"
2026-08_11CONCERT_PLAN,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-08,mixed,11시 콘서트 (신사들의오페라),11시 콘서트,고객,FP/Agt.,여름 시즈널 경품으로 이벤트 매력도·참여동기 부여,사연 응모,"FP 대상 참여 조건 변경, 고객 사연 주제·예시 간결화","사연 응모, 추첨",고객터치 시스템 웹페이지,여름,데이터 없음,데이터 없음,2026-07-15,2026-07-31,"당첨 인원 '30ㅈ'는 텍스트 추출 오류로 의심되는 값 - 확인 필요 유지. 단 2026-09-04 추가: 응모 기간(2026-07-15~07-31) 실제 응모자 수는 내부 로그로 확인됨(evidence A, 하단 measured 참고) - 공연 자체는 8월 진행이라 관람 결과는 여전히 미확인.",True,"slide 3, slide 6 / 내부_11시콘서트_8월_신사들의오페라_260715-260731.xlsx"
2026-08_DESIGNSUPPORT_PLAN,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-08,plan,설계지원팀장,설계지원팀장,설계지원팀장,GA Agt.,"설계지원팀장 반응 높았던 보너스 컨셉 유지, 혜택 공유 확산",고객 공유,경품 확정안 반영(세부 조건 미기재),확인 필요,고객터치 시스템 웹페이지,데이터 없음,혜택 강조형 비주얼(동전/상승 화살표 모티브),데이터 없음,2026-08-01,N/A,확인 필요(총 당첨 인원·예산 원문 미기재 '-'),True,"slide 3, slide 7"
2026-08_ONESHEET_PLAN,(wylie)한화생명 7월 월간보고_260806_6월은 파일 오류로 삭제.pptx,2026-07,2026-08,plan,원시트/소식지,원시트·소식지,FP/Agt.,고객,8월 앵콜 불꽃 어워즈 KV 베리에이션으로 프리미엄·매력도 강조,고객 터치 발송,데이터 없음,데이터 없음,원시트/소식지,불꽃축제·여행,불꽃과 여행을 담은 프리미엄 혜택,데이터 없음,2026-08-01,N/A,확인 필요(경품·인원·예산 모두 표에 '-'),True,"slide 3, slide 8"
