performance_id,event_id,exposure_count,unique_visitor_count,participant_count,mission_complete_count,share_count,touch_send_count,customer_response_count,repeat_participant_count,winner_count,completion_rate,participation_rate,share_rate,touch_conversion_rate,cost_per_participant,cost_per_completion,previous_event_value,change_rate,qualitative_result,evidence_type,confidence_level,source_page,review_kind
PERF-0011,2026-02_DESIGNSUPPORT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,전반적으로 강한 컬러와 강조 요소가 많아 핵심 정보·혜택·행동 버튼 간 우선순위가 다소 분산 → 버튼과 주요 혜택 영역 중심 집중 필요,C,정성 리뷰(수치 아님),slide 5,improve
PERF-0012,2026-03_TOUCHAWARDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,slide 3,no_evidence
PERF-0013,2026-03_GOLDENWEEK,N/A,57288,17701,N/A,N/A,N/A,65049,N/A,N/A,N/A,30.9,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_3월_행운의복불복_260303-260320.xlsx (일별 로그 합계(2026-03-03~2026-03-20, 18일)) - 방문/클릭 57,288, 수신고객 65,049, 참여(응모) 17,701. PV수(클릭수) 57,288건을 이벤트 페이지 방문수로, 총_응모고객수 17,701명을 참여자 수로 사용. xlsx 전사 2026-03 고객응모 집계(17,830명)와 거의 일치(오차 129명, 0.7%) - 3월은 골든위크가 고객응모 KPI의 대부분을 차지한 것으로 추정됨.",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-03-03~2026-03-20, 18일)",N/A
PERF-0014,2026-03_11CONCERT,N/A,7547,706,N/A,N/A,N/A,9219,N/A,N/A,N/A,9.4,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_11시콘서트_3월_국제콩쿠르스타특집_260219-260304.xlsx (일별 로그 합계(2026-02-19~2026-03-04, 14일)) - 방문/클릭 7,547, 수신고객 9,219, 참여(응모) 706. PV수(클릭수) 7,547건을 이벤트 페이지 방문수로, 총_응모고객수 706명을 참여자 수로 사용. 응모 기간이 2월 말~3월 초에 걸쳐 있어 월별 KPI 집계와는 직접 비교하지 않음(응모 기간 자체 기준 누적치, 위 골든위크 3월 항목의 근일치는 참고용).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-02-19~2026-03-04, 14일)",N/A
PERF-0015,2026-04_GWANGJU_CULTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,slide 3-5 (이미지: image14~22.png),no_evidence
PERF-0016,2026-03_ONESHEET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KV는 신상품 치매라는 주제를 무겁지 않게 전달하면서도 가족·행복의 키포인트가 자연스럽게 드러나도록 비주얼 방향성을 명확히 설정할 필요가 있음,C,정성 리뷰(수치 아님),slide 7-9,improve
PERF-0017,2026-03_ONESHEET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"고객 관심도 분류 및 후속 영업 활용이라는 목적을 명확히 반영하여, 선택지와 질문 구성을 보다 전략적으로 설계 필요(설문/퀴즈)",C,정성 리뷰(수치 아님),slide 7-9,improve
PERF-0018,2026-03_ONESHEET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"이벤트 문구 작성 시 소구 포인트를 강조하더라도, 실제 운영 조건과 오해 없이 연결되도록 경품·미션 구조·참여 조건·콘텐츠/이벤트 구분 등의 세부 내용을 사전에 한 번 더 대조 검수 필요",C,정성 리뷰(수치 아님),slide 7-9,process
PERF-0019,2026-04_TOUCHAWARDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,"slide 2 (SUMMARY, 총 5건 제작)",no_evidence
PERF-0020,2026-04_GOLDENWEEK,N/A,53976,9601,N/A,N/A,N/A,56267,N/A,N/A,N/A,17.8,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_4월_치매담은_260406-260424.xlsx (일별 로그 합계(2026-04-06~2026-04-24, 19일)) - 방문/클릭 53,976, 수신고객 56,267, 참여(응모) 9,601. PV수(클릭수) 53,976건을 이벤트 페이지 방문수로, 총_응모고객수 9,601명을 참여자 수로 사용. xlsx 전사 2026-04 고객응모 집계(11,088명)와는 1,487명 차이가 있음 - 4월 11시콘서트 응모분은 내부 로그가 없어 확인 불가하며, 그 차이가 여기서 온 것일 가능성이 있으나 단정하지 않음(확인 필요).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-04-06~2026-04-24, 19일)",N/A
PERF-0021,2026-04_11CONCERT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,slide 2 (SUMMARY),no_evidence
PERF-0022,2026-04_LOCAL_CULTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,확인 필요(4월 보고서 내 해당 슬라이드 특정 못함),no_evidence
PERF-0023,2026-04_ONESHEET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,slide 6-7,no_evidence
PERF-0024,2026-05_TOUCHAWARDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,원본 보고서에 이 이벤트의 정량 성과 또는 정성 리뷰가 확인되지 않음,D,근거 부족,slide 2 (SUMMARY),no_evidence
PERF-0025,2026-05_GOLDENWEEK,N/A,37853,10935,N/A,N/A,N/A,41910,N/A,N/A,N/A,28.9,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_5월_1+1_260504-260522.xlsx (일별 로그 합계(2026-05-04~2026-05-22, 19일)) - 방문/클릭 37,853, 수신고객 41,910, 참여(응모) 10,935. PV수(클릭수) 37,853건을 이벤트 페이지 방문수로, 총_응모고객수 10,935명을 참여자 수로 사용. 같은 달 11시콘서트 응모(984명)를 더하면 11,919명으로 xlsx 전사 2026-05 고객응모 집계(12,105명)와 거의 일치(오차 186명, 1.5%) - 두 이벤트가 5월 고객응모 KPI의 대부분을 차지한 것으로 추정됨.",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-05-04~2026-05-22, 19일)",N/A
PERF-0026,2026-05_GOLDENWEEK,218659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 2회차, GA / 한금서 / 라이프랩] 노출수 합계 218,659, 클릭수 합계 7,574. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(2026-05-08, 05-18 2회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_5월 골든위크__1차/2차(GA/라이프랩/한금서) xls 6개, 260508/260518",N/A
PERF-0027,2026-05_ONESHEET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"터치어워즈의 경품을 원시트 메인 요소로 활용하고, 배너 목적에 맞게 경품 요소를 재배치·보정해 경품 스케일과 이벤트 주목도가 직관적으로 전달되도록 구성함",C,정성 리뷰(수치 아님),slide 7,observation
PERF-0028,2026-05_11CONCERT,N/A,13674,984,N/A,N/A,N/A,14003,N/A,N/A,N/A,7.2,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 11시콘서트_내부_5월_영화OST특집_260415-260503.xlsx (일별 로그 합계(2026-04-15~2026-05-03, 19일, 5월 공연분 응모 기간)) - 방문/클릭 13,674, 수신고객 14,003, 참여(응모) 984. PV수(클릭수) 13,674건을 이벤트 페이지 방문수로, 총_응모고객수 984명을 참여자 수로 사용. 위 골든위크 5월 항목과 합산 시 xlsx 전사 2026-05 고객응모 집계와 거의 일치함(교차검증, 골든위크 5월 항목 참고).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-04-15~2026-05-03, 19일, 5월 공연분 응모 기간)",N/A
PERF-0029,2026-06_SALESBOOST_PLAN,96955,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 4회차, 한금서(제공된 로그가 한금서 채널뿐 - GA/라이프랩 로그는 없음)] 노출수 합계 96,955, 클릭수 합계 2,461. 카카오톡 채널(한금서) 발송분 한정 누적 노출/클릭 합계(2026-06-08~06-29, 4회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_영업부스트패키지_1~4차_한금서 xls 4개, 260608/260615/260622/260629",N/A
PERF-0030,2026-06_SALESBOOST_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"AI활용 KV 고도화: 동화적인 KV 구현을 위해 AI 활용 범위를 확대, 이미지 소스만으로 표현하기 어려운 무드를 시각화 진행. 제작 과정에서 AI 특유의 어색함으로 인해 여러 번 정제",C,정성 리뷰(수치 아님),slide 3-7,process
PERF-0031,2026-06_SALESBOOST_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"경품의 고급감을 강조할 수 있도록 KV 톤앤매너 조정, 상징적인 바 형태로 골드바를 표현하는 과정에서 디테일 조율이 필요했으며, 향후 핵심 경품의 존재감이 더 직관적으로 드러나도록 보완할 필요",C,정성 리뷰(수치 아님),slide 3-7,improve
PERF-0032,2026-06_SALESBOOST_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"‘시크릿 박스’ 콘셉트를 중심으로 KV 방향을 설정하고, 비밀스러운 기대감과 이벤트성 주목도가 함께 느껴지도록 타이틀·비주얼을 고민함",C,정성 리뷰(수치 아님),slide 3-7,observation
PERF-0033,2026-06_11CONCERT,N/A,16570,1177,N/A,N/A,N/A,17376,N/A,N/A,N/A,7.1,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_11시콘서트_6월_피겨발레_260518-260603.xlsx (일별 로그 합계(2026-05-18~2026-06-03, 16일)) - 방문/클릭 16,570, 수신고객 17,376, 참여(응모) 1,177. PV수(클릭수) 16,570건을 이벤트 페이지 방문수로, 총_응모고객수 1,177명을 참여자 수로 사용. 응모 기간이 5월 말~6월 초에 걸쳐 있어, 6월 xlsx 전사 집계(응모 1,098명 - 6월 보고서 자체가 유실되어 신뢰도가 낮은 값)와는 직접 비교하지 않음.",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-05-18~2026-06-03, 16일)",N/A
PERF-0034,2026-06_11CONCERT,5531,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 1회차, GA / 한금서 / 라이프랩] 노출수 합계 5,531, 클릭수 합계 181. 카카오톡 채널 발송분 한정 노출/클릭 합계(2026-05-20 1회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_11시콘서트_카탈로그형(GA/라이프랩/한금서) xls 3개, 260520",N/A
PERF-0035,2026-05_NEWSLETTER,219665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 2회차, GA / 한금서 / 라이프랩] 노출수 합계 219,665, 클릭수 합계 7,263. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(2026-05-11, 05-22 2회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_뉴스레터_1차/2차(GA/라이프랩/한금서) xls 6개, 260511/260522",N/A
PERF-0036,2026-06_NEWSLETTER,N/A,32650,N/A,N/A,N/A,N/A,34211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_뉴스레터_6월_260615-260630.xlsx (일별 로그 합계(2026-06-15~2026-06-30, 16일)) - 방문/클릭 32,650, 수신고객 34,211. PV수(클릭수) 32,650건을 콘텐츠 열람(클릭) 수로, 수신고객수 34,211명을 발송 대상 규모로 사용. 총_응모고객수 항목은 원본에 0으로 기재되어 있어(뉴스레터는 응모 유도가 없는 채널) 참여자 수는 집계하지 않음(N/A).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-06-15~2026-06-30, 16일)",N/A
PERF-0037,2026-06_NEWSLETTER,132420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 2회차, GA / 한금서 / 라이프랩] 노출수 합계 132,420, 클릭수 합계 1,457. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(2026-06-18, 06-25 2회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_뉴스레터_1차/2차(GA/라이프랩/한금서) xls 6개, 260618/260625",N/A
PERF-0038,2026-07_GOLDENWEEK,N/A,73971,43097,N/A,N/A,6657,82076,N/A,N/A,N/A,58.3,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_골든위크_7월_260701-260731.xlsx (일별 로그 합계(2026-07-01~2026-07-31, 31일)) - 방문/클릭 73,971, 수신고객 82,076, 참여(응모) 43,097, 터치발송 6,657. PV수(클릭수) 73,971건을 이벤트 페이지 방문수로, 총_응모고객수 43,097명(계약고객 28,706+잠재고객 14,391)을 참여자 수로 사용. 교차검증: 골든위크 43,097명 + 11시콘서트(8월) 응모 1,160명 = 44,257명으로, xlsx 전사 2026-07 고객응모 집계(44,258명, 계약 29,697/잠재 14,561)와 거의 정확히 일치(오차 1명) -> 두 원본(내부 로그 vs xlsx 전사 집계)이 서로를 검증함(evidence A). 터치발송 6,657건은 최초 업로드된 '[고객터치 시스템] 월별 주요지표 .xlsx'의 2026-07 '이벤트' 카테고리 값을 사용자 결정에 따라 채택함 - 단 이 카테고리는 원래 골든위크+11시콘서트를 합산한 값이라 골든위크 단독 발송 건수가 아닐 수 있음(확인 필요). 내부 로그의 일별 '발송수' 합계(84,989건)는 정의가 달라 보여(약 12.8배 차이) 채택하지 않음.",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-07-01~2026-07-31, 31일)",N/A
PERF-0039,2026-07_GOLDENWEEK,442525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 4회차, GA(채널 구독자 약 8.6만) / 한금서(약 4.2만) / 라이프랩(약 3,700)] 노출수 합계 442,525, 클릭수 합계 15,410. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(라운드별 재발송 포함, 순 방문자 수 아님). 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)",카카오_7월 골든위크__1~4차(GA/라이프랩/한금서) xls 12개,N/A
PERF-0040,2026-07_GOLDENWEEK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"지난 7월 골든위크 당시 경품 예산 증대 기조에 맞춰 최소 경품 단가를 상향 운영한 결과, 초기 주목도 제고 및 최종 참여율 극대화에 유의미한 기여 확인",C,정성 리뷰(수치 아님),slide 9 (9월 운영 제언) / 내부_골든위크_7월_260701-260731.xlsx,result_qualitative
PERF-0041,2026-07_11CONCERT,N/A,17363,853,N/A,N/A,N/A,18924,N/A,N/A,N/A,4.9,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_11시콘서트_7월_푸른여름날_260615-260630.xlsx (일별 로그 합계(2026-06-15~2026-06-30, 16일, 7월 공연분 응모 기간)) - 방문/클릭 17,363, 수신고객 18,924, 참여(응모) 853. PV수(클릭수) 17,363건을 이벤트 페이지 방문수로, 총_응모고객수 853명을 참여자 수로 사용. 응모 기간이 6월 중이라 7월 xlsx 전사 집계와는 직접 비교하지 않음(응모 기간 자체 기준 누적치).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-06-15~2026-06-30, 16일, 7월 공연분 응모 기간)",N/A
PERF-0042,2026-07_11CONCERT,38793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 2회차, GA / 한금서 / 라이프랩] 노출수 합계 38,793, 클릭수 합계 400. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(2026-06-17, 06-26 2회차). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)","카카오_11시콘서트_카탈로그형/와이드이미지형(GA/라이프랩/한금서) xls 6개, 260617/260626",N/A
PERF-0043,2026-07_11CONCERT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11시 콘서트의 응모 조건 강화에도 불구하고, 프로모션 페이지 내에 난이도를 낮춘 사연 작성 예시를 선제적으로 노출함으로써 이전 차수 대비 최다 참여 모객 달성",C,정성 리뷰(수치 아님),slide 9 (9월 운영 제언),result_qualitative
PERF-0044,2026-07_TOUCHAWARDS,437407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"[카카오 채널 발송 로그, 4회차, GA / 한금서 / 라이프랩] 노출수 합계 437,407, 클릭수 합계 15,002. 카카오톡 채널 발송분 한정 누적 노출/클릭 합계(2026-07-01~4차 라운드). 순 방문자 수 아님, 전사 집계와 직접 비교 금지.",A,"채널 한정 수치(전사/이벤트 전체 방문자와 다름, 참고용)",카카오_불꽃어워즈_1~4차(GA/라이프랩/한금서) xls 12개,N/A
PERF-0045,2026-08_GOLDENWEEK_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1인당 평균 혜택 비용(계획) = 총 경품예산 38,000,000원 / 총 당첨인원 20,000명 = 약 1,900.0원",B,"중(계획 수치 기반 파생값, 실제 집행 결과 아님)","slide 3 (8월 프로모션 경품 운영 기획안 표), slide 4",N/A
PERF-0046,2026-08_GOLDENWEEK_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8월 시즌 이슈와 트렌드를 분석하여 키컨셉에 적용함으로써 프로모션 몰입도와 공감대 제고, 직관적으로 공감할 수 있는 경품 메시지로 참여 허들 완화",C,정성 리뷰(수치 아님),"slide 3 (8월 프로모션 경품 운영 기획안 표), slide 4",plan_rationale
PERF-0047,2026-08_TOUCHAWARDS_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1인당 평균 혜택 비용(계획) = 총 경품예산 4,150,000원 / 총 당첨인원 195명 = 약 21,282.1원",B,"중(계획 수치 기반 파생값, 실제 집행 결과 아님)","slide 3, slide 5",N/A
PERF-0048,2026-08_TOUCHAWARDS_PLAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,불꽃 티켓을 받을 수 있는 마지막 기회라는 한시성을 강조해 FP/Agt.의 참여와 영업 활동을 독려하는 앵콜 불꽃 어워즈로 운영,C,정성 리뷰(수치 아님),"slide 3, slide 5",plan_rationale
PERF-0049,2026-08_11CONCERT_PLAN,N/A,10257,1160,N/A,N/A,N/A,10722,N/A,N/A,N/A,11.3,N/A,N/A,N/A,N/A,N/A,N/A,"[내부 실측 로그] 내부_11시콘서트_8월_신사들의오페라_260715-260731.xlsx (일별 로그 합계(2026-07-15~2026-07-31, 17일, 응모 기간)) - 방문/클릭 10,257, 수신고객 10,722, 참여(응모) 1,160. 총_응모고객수 1,160명(계약고객 990+잠재고객 170)을 응모 기간 참여자 수로 사용. 공연 관람 자체는 8월 진행이라 이 수치는 '응모자 수'이지 '공연 참여/만족도' 결과가 아님. 교차검증: 골든위크 measured 항목 참고 (골든위크 43,097명 + 이 1,160명 = 44,257명 ≈ xlsx 전사 2026-07 응모 44,258명, 거의 일치).",A,원본 내부 로그 직접 집계(일별 데이터 합산),"일별 로그 합계(2026-07-15~2026-07-31, 17일, 응모 기간)",N/A
